Обозначение кабеля, провода	Трасса		Проxод через				Кабель, провод					
	Начало	Конец	трубу			Протяжной ящик №	по проекту			проложено		
			Обозначение	Диаметр по стандарту, мм	Длина, м		Марка	Кол., число и сечение жил	Длина, м	Марка	Кол., число и сечение жил	Длина, м
PU204-II.ONet-1	Шкаф ШУ204-II	Пульт ПУ204-II	Труба	20х2,8 			ДОТс-нг(А)-HF-08У					11,4
			РЗ ЦПнг	15								
PU204-II-K1	Шкаф ШУ204-II	Пульт ПУ204-II	Труба	20х2,8 			МКЭШнг(A)-LS	7x0,75	70			10,8
			РЗ ЦПнг	15								
204-II.PIS-K1	Пульт ПУ204-II	Реле давления (204-II.PIS)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5	5			8,6
			РЗ ЦПнг	15								
204-II.FS-K1	Пульт ПУ204-II	Реле расхода (204-II.FS)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5	5			8,6
			РЗ ЦПнг	15								
Шкаф ШУ204-III											 	
204-IIIа-S2	Шкаф ШУ204-III	Пост сигнализации (204-IIIа.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5				10,7
			РЗ ЦПнг	15								
PU204-III-S1	Шкаф ШУ204-III	Пульт ПУ204-III	Труба	20х2,8 			РэВнг(A)-LS	3x2,5	75			10,7
			РЗ ЦПнг	15								
PU204-III.ONet-1	Шкаф ШУ204-III	Пульт ПУ204-III	Труба	20х2,8 			ДОТс-нг(А)-HF-08У					11,4
			РЗ ЦПнг	15								
PU204-III-K1	Шкаф ШУ204-III	Пульт ПУ204-III	Труба	20х2,8 			МКЭШнг(A)-LS	7x0,75	75			10,8
			РЗ ЦПнг	15								
204-III.PIS-K1	Пульт ПУ204-III	Реле давления (204-III.PIS)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5	5			8,6
			РЗ ЦПнг	15								
204-III.FS-K1	Пульт ПУ204-III	Реле расхода (204-III.FS)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5	5			8,6
			РЗ ЦПнг	15								
Шкаф ШУ204-IV 											 	
204-IVа-S2	Шкаф ШУ204-IV	Пост сигнализации (204-IVа.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5				10,7
			РЗ ЦПнг	15								
PU204-IV-S1	Шкаф ШУ204-IV	Пульт ПУ204-IV	Труба	20х2,8 			РэВнг(A)-LS	3x2,5	70			10,7
			РЗ ЦПнг	15								
PU204-IV.ONet-1	Шкаф ШУ204-IV	Пульт ПУ204-IV	Труба	20х2,8 			ДОТс-нг(А)-HF-08У					11,4
			РЗ ЦПнг	15								
PU204-IV-K1	Шкаф ШУ204-IV	Пульт ПУ204-IV	Труба	20х2,8 			МКЭШнг(A)-LS	7x0,75	70			10,8
			РЗ ЦПнг	15								
204-IV.PIS-K1	Пульт ПУ204-IV	Реле давления (204-IV.PIS)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5	5			8,6
			РЗ ЦПнг	15								
204-IV.FS-K1	Пульт ПУ204-IV	Реле расхода (204-IV.FS)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5	5			8,6
			РЗ ЦПнг	15								
Шкаф ШУ204-V											 	
204-Vа-S2	Шкаф ШУ204-V	Пост сигнализации (204-Vа.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5				10,7
			РЗ ЦПнг	15								
